,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,sexo,posse_de_veiculo,posse_de_imovel
149,0,Working,Secondary / secondary special,Single / not married,House / apartment,43.8,24.6,1,0,0,0,1.0,False,0,0,0
150,0,State servant,Higher education,Married,With parents,28.1,4.5,1,1,1,0,2.0,False,1,1,0
153,0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,40.5,6.7,1,0,1,0,2.0,False,1,0,0
159,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.5,13.2,1,0,1,0,2.0,False,0,0,0
168,0,Pensioner,Secondary / secondary special,Married,House / apartment,57.6,,1,0,1,0,2.0,False,0,0,0
169,0,Working,Secondary / secondary special,Single / not married,Municipal apartment,44.1,5.1,1,0,1,0,1.0,False,0,0,0
170,0,Pensioner,Secondary / secondary special,Widow,House / apartment,60.4,,1,0,0,0,1.0,False,0,0,0
172,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.2,,1,0,1,1,2.0,False,0,1,0
181,0,Working,Higher education,Married,House / apartment,57.5,12.9,1,0,1,0,2.0,False,1,1,0
185,0,Working,Higher education,Separated,House / apartment,44.4,19.4,1,0,0,0,1.0,False,0,0,0
186,0,Working,Secondary / secondary special,Married,House / apartment,51.2,14.5,1,1,1,0,2.0,False,1,0,0
187,0,Working,Secondary / secondary special,Married,House / apartment,29.4,6.7,1,0,0,0,2.0,False,1,1,0
191,0,Commercial associate,Lower secondary,Married,House / apartment,58.0,0.4,1,0,1,0,2.0,False,1,0,0
192,0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.0,14.4,1,1,1,0,2.0,False,0,0,0
193,0,Commercial associate,Higher education,Civil marriage,House / apartment,40.7,1.6,1,1,0,0,2.0,False,1,1,0
196,0,Pensioner,Secondary / secondary special,Married,House / apartment,63.5,,1,0,1,1,2.0,False,1,1,0
198,2,Working,Higher education,Married,House / apartment,30.9,4.8,1,1,0,1,4.0,False,0,0,0
199,1,Working,Secondary / secondary special,Married,House / apartment,25.8,3.3,1,1,0,0,3.0,False,1,1,0
201,0,State servant,Higher education,Married,House / apartment,40.3,15.3,1,0,1,0,2.0,False,0,0,0
203,0,State servant,Higher education,Single / not married,House / apartment,30.2,8.7,1,0,0,0,1.0,False,1,0,0
206,1,Working,Higher education,Civil marriage,House / apartment,34.3,1.4,1,1,0,0,3.0,False,0,0,0
212,0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.5,0.7,1,1,1,0,2.0,False,1,0,0
213,0,Working,Incomplete higher,Married,House / apartment,38.1,6.3,1,1,1,0,2.0,False,1,0,0
215,0,Working,Secondary / secondary special,Single / not married,House / apartment,52.9,1.3,1,1,1,0,1.0,False,0,0,0
216,0,Working,Secondary / secondary special,Single / not married,Co-op apartment,22.4,3.6,1,1,0,0,1.0,False,1,0,0
217,0,Pensioner,Secondary / secondary special,Married,House / apartment,64.3,,1,0,0,0,2.0,False,0,0,0
219,0,State servant,Higher education,Married,House / apartment,47.3,3.7,1,0,1,0,2.0,False,0,0,0
224,0,Working,Secondary / secondary special,Married,House / apartment,54.0,27.0,1,1,1,0,2.0,False,0,0,0
229,0,Commercial associate,Higher education,Married,House / apartment,36.3,12.2,1,0,1,0,2.0,False,0,0,0
230,0,Working,Secondary / secondary special,Married,Municipal apartment,33.2,2.2,1,0,0,0,2.0,False,0,0,0
231,2,Working,Secondary / secondary special,Married,House / apartment,26.7,7.9,1,0,0,0,4.0,False,0,0,0
234,0,Commercial associate,Secondary / secondary special,Married,House / apartment,44.4,17.0,1,1,1,0,2.0,False,1,1,0
236,0,Commercial associate,Secondary / secondary special,Married,House / apartment,32.1,3.2,1,1,0,1,2.0,False,1,1,0
243,0,Working,Higher education,Married,House / apartment,44.1,13.5,1,0,1,0,2.0,False,0,0,0
245,0,Working,Incomplete higher,Married,House / apartment,46.3,7.4,1,0,0,0,2.0,False,0,0,0
248,2,Working,Incomplete higher,Married,House / apartment,34.1,6.0,1,1,0,0,4.0,False,1,1,0
250,1,Working,Secondary / secondary special,Separated,Co-op apartment,32.9,3.1,1,1,0,0,2.0,False,1,1,0
251,0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.2,2.7,1,0,1,0,2.0,False,0,1,0
255,0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.5,4.8,1,1,1,0,2.0,False,0,1,0
256,0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,51.5,26.7,1,0,0,0,2.0,False,0,0,0
265,0,Pensioner,Secondary / secondary special,Widow,House / apartment,55.6,,1,0,1,0,1.0,False,0,0,0
266,0,Working,Secondary / secondary special,Married,House / apartment,41.5,8.6,1,1,1,0,2.0,False,1,1,0
268,0,Pensioner,Secondary / secondary special,Married,House / apartment,58.4,,1,0,0,0,2.0,False,0,0,0
270,0,Working,Secondary / secondary special,Separated,House / apartment,32.0,1.9,1,0,0,0,1.0,False,0,0,0
271,0,Working,Secondary / secondary special,Separated,House / apartment,39.4,2.2,1,0,1,0,1.0,False,0,0,0
272,0,Working,Secondary / secondary special,Married,House / apartment,23.2,5.0,1,0,1,0,2.0,False,0,1,0
273,0,Working,Secondary / secondary special,Married,House / apartment,47.6,2.4,1,1,1,0,2.0,False,0,1,0
275,0,Commercial associate,Higher education,Married,House / apartment,36.9,7.5,1,1,1,0,2.0,False,0,1,0
276,1,Working,Secondary / secondary special,Married,House / apartment,35.3,10.2,1,1,0,0,3.0,False,0,0,0
277,2,Working,Secondary / secondary special,Married,House / apartment,33.6,2.7,1,1,1,0,4.0,False,0,0,0
278,0,Pensioner,Secondary / secondary special,Married,House / apartment,47.6,,1,0,0,0,2.0,False,1,1,0
279,0,Working,Secondary / secondary special,Married,House / apartment,52.2,0.3,1,1,0,0,2.0,False,1,1,0
282,0,Working,Secondary / secondary special,Married,House / apartment,52.9,9.0,1,1,0,0,2.0,False,0,0,0
284,0,Working,Secondary / secondary special,Married,House / apartment,52.9,9.0,1,1,0,0,2.0,True,0,0,0
286,0,Working,Secondary / secondary special,Married,House / apartment,27.1,5.6,1,0,1,0,2.0,False,0,0,0
287,0,Pensioner,Secondary / secondary special,Married,House / apartment,58.7,,1,0,1,0,2.0,False,0,0,0
289,0,Commercial associate,Secondary / secondary special,Single / not married,With parents,23.3,2.5,1,1,0,0,1.0,False,1,0,0
290,0,Working,Secondary / secondary special,Single / not married,House / apartment,40.2,10.0,1,1,0,0,1.0,False,1,0,0
291,0,State servant,Secondary / secondary special,Married,House / apartment,51.1,30.0,1,0,1,0,2.0,False,0,0,0
295,0,Working,Higher education,Single / not married,House / apartment,27.9,4.9,1,1,0,0,1.0,False,1,0,0
298,0,Pensioner,Secondary / secondary special,Separated,House / apartment,52.6,,1,0,0,0,1.0,False,0,0,0
301,0,Pensioner,Secondary / secondary special,Widow,House / apartment,59.4,,1,0,1,0,1.0,False,0,0,0
309,0,Pensioner,Secondary / secondary special,Separated,House / apartment,63.8,,1,0,1,0,1.0,False,0,0,0
310,0,Commercial associate,Higher education,Married,Municipal apartment,35.6,4.3,1,0,1,1,2.0,False,1,1,0
314,0,Working,Secondary / secondary special,Single / not married,House / apartment,25.7,4.7,1,1,1,0,1.0,False,1,0,0
318,0,Working,Secondary / secondary special,Single / not married,House / apartment,52.9,12.2,1,1,1,0,1.0,False,0,0,0
319,0,Working,Higher education,Married,House / apartment,27.1,6.8,1,0,1,0,2.0,False,0,0,0
321,0,Working,Secondary / secondary special,Married,House / apartment,36.1,3.6,1,1,0,0,2.0,False,1,1,0
322,0,Commercial associate,Higher education,Married,House / apartment,53.0,20.0,1,1,1,0,2.0,False,0,1,0
325,0,Working,Secondary / secondary special,Married,House / apartment,40.2,12.0,1,1,1,0,2.0,False,0,1,0
327,0,Commercial associate,Higher education,Married,House / apartment,37.1,1.6,1,1,1,0,2.0,False,0,1,0
328,0,Commercial associate,Higher education,Married,House / apartment,37.1,1.6,1,1,1,0,2.0,True,0,1,0
332,0,Working,Higher education,Single / not married,House / apartment,24.9,4.6,1,0,0,0,1.0,False,1,1,0
335,0,Working,Secondary / secondary special,Separated,House / apartment,38.7,8.7,1,0,0,0,1.0,False,1,0,0
338,2,State servant,Higher education,Married,Municipal apartment,40.8,18.7,1,1,0,0,4.0,False,1,1,0
340,0,Pensioner,Secondary / secondary special,Widow,House / apartment,60.3,,1,0,1,0,1.0,False,0,0,0
343,0,Working,Higher education,Married,House / apartment,42.3,10.9,1,1,1,0,2.0,False,0,1,0
345,1,Working,Secondary / secondary special,Married,House / apartment,32.4,8.9,1,1,1,0,3.0,False,0,0,0
347,0,Working,Secondary / secondary special,Married,House / apartment,40.8,14.9,1,0,1,0,2.0,False,0,1,0
349,0,Working,Secondary / secondary special,Married,House / apartment,43.2,1.0,1,1,0,0,2.0,False,0,0,0
351,0,Working,Higher education,Married,With parents,28.6,4.7,1,1,0,0,2.0,False,1,1,0
354,0,State servant,Secondary / secondary special,Civil marriage,House / apartment,36.0,15.3,1,0,0,0,2.0,False,0,0,0
356,0,Working,Secondary / secondary special,Civil marriage,House / apartment,34.6,1.1,1,0,0,0,2.0,False,1,1,0
358,0,Commercial associate,Secondary / secondary special,Separated,House / apartment,49.1,4.0,1,0,0,0,1.0,False,0,0,0
359,0,Working,Secondary / secondary special,Married,House / apartment,43.6,0.4,1,1,0,0,2.0,False,1,1,0
360,0,Commercial associate,Higher education,Civil marriage,House / apartment,33.6,1.1,1,0,1,0,2.0,False,1,0,0
361,0,Commercial associate,Higher education,Married,House / apartment,27.6,1.9,1,0,0,0,2.0,False,0,0,0
364,0,Commercial associate,Secondary / secondary special,Separated,With parents,28.1,1.5,1,1,1,0,1.0,False,1,1,0
370,0,Working,Higher education,Civil marriage,Rented apartment,39.9,3.4,1,1,0,0,2.0,False,1,1,0
373,2,Commercial associate,Higher education,Married,House / apartment,41.5,17.5,1,1,0,0,4.0,False,1,1,0
376,0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,59.3,,1,0,1,0,2.0,False,0,0,1
381,0,Working,Secondary / secondary special,Married,House / apartment,52.4,10.0,1,0,0,0,2.0,False,1,1,0
387,2,Commercial associate,Higher education,Married,House / apartment,34.9,1.2,1,0,1,0,4.0,False,0,0,1
390,0,Working,Higher education,Married,House / apartment,54.7,20.4,1,0,0,0,2.0,False,1,1,1
393,2,Working,Secondary / secondary special,Married,House / apartment,29.3,6.4,1,0,0,0,4.0,True,0,0,1
394,2,Working,Secondary / secondary special,Married,House / apartment,29.3,6.4,1,0,0,0,4.0,False,0,0,1
395,0,Working,Incomplete higher,Single / not married,House / apartment,23.2,4.1,1,1,0,1,1.0,False,0,0,1
396,2,State servant,Secondary / secondary special,Married,House / apartment,34.8,12.2,1,0,0,0,4.0,False,0,1,1
399,0,Working,Secondary / secondary special,Married,House / apartment,44.0,21.0,1,0,0,0,2.0,False,1,1,1
402,1,Working,Secondary / secondary special,Married,House / apartment,45.5,8.9,1,0,0,0,3.0,False,0,1,1
403,0,State servant,Secondary / secondary special,Married,House / apartment,56.6,10.6,1,0,0,0,2.0,False,0,1,1
408,0,Pensioner,Higher education,Single / not married,House / apartment,62.6,,1,0,0,0,1.0,False,1,1,1
411,0,Working,Incomplete higher,Married,House / apartment,46.1,10.1,1,0,0,0,2.0,False,0,0,1
412,1,Commercial associate,Secondary / secondary special,Married,House / apartment,38.2,1.7,1,0,0,0,3.0,False,1,1,1
417,1,Working,Secondary / secondary special,Married,House / apartment,33.8,7.7,1,0,1,1,3.0,False,0,1,0
419,2,State servant,Secondary / secondary special,Married,House / apartment,33.5,5.6,1,0,0,0,4.0,False,0,0,1
421,1,State servant,Incomplete higher,Civil marriage,House / apartment,29.9,9.8,1,0,1,0,3.0,False,0,0,1
425,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,35.3,1.9,1,0,0,0,2.0,False,0,1,1
427,0,Commercial associate,Higher education,Single / not married,With parents,29.7,6.9,1,0,0,1,1.0,False,0,0,0
429,0,Working,Secondary / secondary special,Married,House / apartment,56.9,6.4,1,0,0,0,2.0,False,0,0,1
431,0,Pensioner,Secondary / secondary special,Married,House / apartment,60.6,,1,0,1,0,2.0,False,1,1,1
432,0,Working,Secondary / secondary special,Married,House / apartment,60.0,23.2,1,1,0,0,2.0,False,0,0,1
437,0,Working,Secondary / secondary special,Married,House / apartment,50.6,8.3,1,0,0,1,2.0,False,0,0,1
439,0,Working,Secondary / secondary special,Single / not married,House / apartment,46.5,6.9,1,0,1,1,1.0,False,1,1,1
440,0,Working,Secondary / secondary special,Married,House / apartment,45.4,12.5,1,0,0,0,2.0,False,0,0,1
444,0,Working,Secondary / secondary special,Widow,House / apartment,50.4,21.4,1,0,0,0,1.0,False,0,0,1
446,0,Working,Secondary / secondary special,Married,House / apartment,45.9,9.6,1,0,0,0,2.0,False,0,0,1
448,2,Working,Secondary / secondary special,Married,Municipal apartment,34.3,3.1,1,0,0,0,4.0,False,1,1,0
450,0,Working,Secondary / secondary special,Married,House / apartment,57.4,0.5,1,0,1,1,2.0,False,1,0,1
452,0,Commercial associate,Secondary / secondary special,Married,House / apartment,28.2,4.6,1,0,0,0,2.0,False,0,0,0
453,2,State servant,Higher education,Married,House / apartment,37.1,10.9,1,0,0,0,4.0,False,0,1,1
454,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.9,,1,0,0,0,2.0,False,0,0,1
456,0,Pensioner,Secondary / secondary special,Married,House / apartment,60.6,,1,0,0,0,2.0,False,0,1,1
459,0,Pensioner,Higher education,Widow,House / apartment,58.3,,1,0,0,1,1.0,False,0,1,1
462,0,Working,Secondary / secondary special,Married,House / apartment,38.8,2.5,1,0,0,0,2.0,False,1,1,1
464,1,Working,Secondary / secondary special,Married,House / apartment,41.1,14.7,1,0,0,1,3.0,False,0,1,1
465,2,Working,Secondary / secondary special,Married,House / apartment,35.4,5.7,1,1,1,1,4.0,False,0,0,1
471,0,Pensioner,Secondary / secondary special,Married,House / apartment,63.8,,1,0,0,0,2.0,False,1,1,1
474,1,Working,Secondary / secondary special,Married,House / apartment,34.2,15.8,1,0,0,0,3.0,False,0,1,1
478,0,Working,Secondary / secondary special,Married,House / apartment,60.6,4.4,1,0,1,1,2.0,False,1,1,1
482,0,State servant,Secondary / secondary special,Married,House / apartment,50.7,5.1,1,0,0,0,2.0,False,0,0,1
483,0,Commercial associate,Secondary / secondary special,Married,House / apartment,58.4,1.3,1,0,0,0,2.0,False,0,0,1
485,2,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,50.4,11.7,1,1,1,1,4.0,False,1,1,1
487,1,Working,Secondary / secondary special,Single / not married,House / apartment,46.0,18.0,1,0,1,0,2.0,False,1,0,0
492,0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.8,13.9,1,0,1,0,2.0,False,0,0,1
493,0,Pensioner,Secondary / secondary special,Married,House / apartment,63.9,,1,0,0,0,2.0,False,0,1,1
495,0,Working,Secondary / secondary special,Married,House / apartment,49.6,3.6,1,0,0,0,2.0,False,1,0,1
496,0,Pensioner,Higher education,Single / not married,House / apartment,63.6,,1,0,1,0,1.0,False,0,0,1
497,0,Working,Lower secondary,Married,With parents,27.4,5.1,1,0,0,1,2.0,False,1,1,1
502,1,State servant,Secondary / secondary special,Married,House / apartment,48.0,22.0,1,0,0,0,3.0,False,0,1,1
507,0,Commercial associate,Incomplete higher,Married,House / apartment,59.1,6.0,1,0,0,0,2.0,False,1,1,1
508,0,Working,Secondary / secondary special,Married,House / apartment,45.2,11.9,1,0,0,0,2.0,False,1,1,1
510,0,Working,Secondary / secondary special,Married,House / apartment,55.2,2.9,1,0,0,0,2.0,False,1,1,1
516,0,State servant,Secondary / secondary special,Married,House / apartment,54.0,22.9,1,0,0,0,2.0,False,0,1,1
517,1,Working,Incomplete higher,Married,House / apartment,37.8,15.4,1,1,1,0,3.0,False,1,0,1
529,0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.9,5.1,1,0,0,0,2.0,False,0,0,1
531,0,Commercial associate,Secondary / secondary special,Married,House / apartment,55.4,17.0,1,1,1,0,2.0,False,0,0,1
533,0,Pensioner,Secondary / secondary special,Married,House / apartment,64.2,,1,0,0,0,2.0,False,0,0,1
534,1,Commercial associate,Secondary / secondary special,Married,House / apartment,41.4,5.4,1,0,0,0,3.0,False,0,1,1
539,0,Commercial associate,Higher education,Married,House / apartment,26.0,0.4,1,0,0,1,2.0,False,1,0,0
541,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.6,,1,0,0,0,2.0,False,0,0,0
551,1,State servant,Incomplete higher,Married,With parents,29.0,3.3,1,0,0,0,3.0,False,1,1,0
553,2,Working,Secondary / secondary special,Separated,House / apartment,40.6,20.3,1,1,0,0,3.0,False,0,0,1
554,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,33.9,5.5,1,1,1,0,1.0,False,1,1,0
556,1,Working,Higher education,Separated,House / apartment,26.9,5.8,1,0,0,1,2.0,False,0,1,1
559,0,Pensioner,Secondary / secondary special,Married,House / apartment,65.1,,1,0,0,0,2.0,False,0,1,1
564,0,Commercial associate,Higher education,Married,House / apartment,37.7,7.0,1,0,0,1,2.0,False,0,1,1
566,1,Working,Higher education,Married,House / apartment,38.8,4.4,1,1,1,0,3.0,False,0,1,1
567,0,Pensioner,Secondary / secondary special,Married,House / apartment,59.9,,1,0,0,0,2.0,False,0,0,1
574,1,Working,Secondary / secondary special,Separated,House / apartment,36.8,8.6,1,0,0,0,2.0,False,1,1,0
575,0,Working,Secondary / secondary special,Married,House / apartment,43.0,0.8,1,0,0,1,2.0,False,0,0,1
583,1,Working,Secondary / secondary special,Married,House / apartment,30.4,0.4,1,0,0,0,3.0,False,0,1,0
584,0,Pensioner,Secondary / secondary special,Married,House / apartment,59.0,,1,0,0,0,2.0,False,0,0,1
587,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.9,,1,0,0,0,2.0,False,0,0,1
588,0,Working,Secondary / secondary special,Married,House / apartment,36.3,15.9,1,1,0,0,2.0,False,0,1,1
590,0,Student,Higher education,Married,House / apartment,51.4,10.7,1,0,0,1,2.0,False,0,0,1
598,1,Working,Secondary / secondary special,Married,House / apartment,34.6,1.9,1,0,1,0,3.0,False,0,1,1
599,0,State servant,Higher education,Married,House / apartment,32.6,6.0,1,0,0,0,2.0,False,1,1,1
603,0,Commercial associate,Higher education,Civil marriage,House / apartment,35.9,0.9,1,0,0,0,2.0,False,1,1,1
605,2,Working,Higher education,Married,House / apartment,37.8,0.4,1,1,1,0,4.0,False,1,1,1
607,0,Pensioner,Secondary / secondary special,Married,House / apartment,54.8,,1,0,0,0,2.0,False,1,1,1
611,1,Working,Secondary / secondary special,Married,House / apartment,28.0,0.9,1,1,0,0,3.0,False,1,1,1
614,0,Working,Secondary / secondary special,Single / not married,House / apartment,47.5,6.9,1,0,0,0,1.0,False,0,1,1
615,1,Working,Higher education,Married,Office apartment,50.6,7.2,1,0,0,0,3.0,False,1,1,1
623,0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,55.8,,1,0,0,0,2.0,False,0,0,1
625,2,Working,Secondary / secondary special,Married,House / apartment,38.2,8.4,1,0,0,0,4.0,True,0,1,0
626,2,Working,Secondary / secondary special,Married,House / apartment,38.2,8.4,1,0,0,0,4.0,False,0,1,0
628,0,Commercial associate,Secondary / secondary special,Separated,House / apartment,49.8,8.3,1,0,1,1,1.0,False,0,1,1
629,0,Commercial associate,Secondary / secondary special,Married,House / apartment,43.2,8.0,1,0,1,0,2.0,False,1,1,1
632,0,Working,Higher education,Married,House / apartment,27.8,4.6,1,0,0,1,2.0,False,0,1,1
635,1,Working,Secondary / secondary special,Married,House / apartment,31.0,4.4,1,0,0,1,3.0,False,1,1,1
638,1,Commercial associate,Higher education,Married,House / apartment,38.8,5.3,1,0,0,1,3.0,False,0,0,0
639,1,Working,Secondary / secondary special,Married,House / apartment,46.0,9.1,1,0,0,0,3.0,False,1,1,1
641,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.8,,1,0,0,0,2.0,False,0,0,1
643,1,Commercial associate,Incomplete higher,Married,House / apartment,29.9,2.5,1,0,0,0,3.0,False,0,0,1
644,2,Working,Higher education,Married,House / apartment,32.5,12.4,1,0,0,0,4.0,False,0,0,1
647,0,Pensioner,Secondary / secondary special,Widow,House / apartment,54.5,,1,0,1,0,1.0,False,0,0,1
650,0,Working,Secondary / secondary special,Civil marriage,House / apartment,58.0,3.0,1,0,0,0,2.0,False,0,0,1
653,0,Pensioner,Incomplete higher,Married,House / apartment,61.0,,1,0,1,0,2.0,False,0,0,1
656,0,Working,Secondary / secondary special,Single / not married,House / apartment,53.2,5.5,1,0,0,0,1.0,False,0,0,1
657,0,Working,Secondary / secondary special,Civil marriage,House / apartment,34.1,1.9,1,0,0,0,2.0,False,0,1,1
663,0,Pensioner,Secondary / secondary special,Married,Municipal apartment,52.8,,1,0,1,0,2.0,False,0,0,0
664,1,Working,Secondary / secondary special,Married,House / apartment,24.2,1.4,1,1,1,0,3.0,False,1,0,0
666,0,Working,Higher education,Single / not married,House / apartment,30.3,2.9,1,0,0,0,1.0,False,1,1,0
667,2,Working,Secondary / secondary special,Married,House / apartment,36.6,11.2,1,0,0,0,4.0,False,1,1,1
672,0,Working,Secondary / secondary special,Married,House / apartment,47.0,8.2,1,0,0,0,2.0,False,1,1,1
673,0,Working,Secondary / secondary special,Married,House / apartment,57.0,2.3,1,0,0,1,2.0,False,1,1,1
674,0,Working,Higher education,Married,House / apartment,28.2,6.1,1,0,0,0,2.0,False,1,1,1
677,0,Working,Secondary / secondary special,Single / not married,House / apartment,56.6,0.9,1,1,1,1,1.0,False,1,1,1
678,2,Commercial associate,Higher education,Married,House / apartment,38.2,8.3,1,0,0,0,4.0,False,0,1,1
