,qtd_filhos,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,sexo,posse_de_veiculo,posse_de_imovel
322,0,53.0,20.0,1,1,1,0,2.0,False,0,1,0
325,0,40.2,12.0,1,1,1,0,2.0,False,0,1,0
327,0,37.1,1.6,1,1,1,0,2.0,False,0,1,0
328,0,37.1,1.6,1,1,1,0,2.0,True,0,1,0
332,0,24.9,4.6,1,0,0,0,1.0,False,1,1,0
335,0,38.7,8.7,1,0,0,0,1.0,False,1,0,0
338,2,40.8,18.7,1,1,0,0,4.0,False,1,1,0
340,0,60.3,,1,0,1,0,1.0,False,0,0,0
343,0,42.3,10.9,1,1,1,0,2.0,False,0,1,0
345,1,32.4,8.9,1,1,1,0,3.0,False,0,0,0
347,0,40.8,14.9,1,0,1,0,2.0,False,0,1,0
349,0,43.2,1.0,1,1,0,0,2.0,False,0,0,0
351,0,28.6,4.7,1,1,0,0,2.0,False,1,1,0
354,0,36.0,15.3,1,0,0,0,2.0,False,0,0,0
356,0,34.6,1.1,1,0,0,0,2.0,False,1,1,0
358,0,49.1,4.0,1,0,0,0,1.0,False,0,0,0
359,0,43.6,0.4,1,1,0,0,2.0,False,1,1,0
360,0,33.6,1.1,1,0,1,0,2.0,False,1,0,0
361,0,27.6,1.9,1,0,0,0,2.0,False,0,0,0
364,0,28.1,1.5,1,1,1,0,1.0,False,1,1,0
370,0,39.9,3.4,1,1,0,0,2.0,False,1,1,0
373,2,41.5,17.5,1,1,0,0,4.0,False,1,1,0
376,0,59.3,,1,0,1,0,2.0,False,0,0,1
381,0,52.4,10.0,1,0,0,0,2.0,False,1,1,0
387,2,34.9,1.2,1,0,1,0,4.0,False,0,0,1
390,0,54.7,20.4,1,0,0,0,2.0,False,1,1,1
393,2,29.3,6.4,1,0,0,0,4.0,True,0,0,1
394,2,29.3,6.4,1,0,0,0,4.0,False,0,0,1
395,0,23.2,4.1,1,1,0,1,1.0,False,0,0,1
396,2,34.8,12.2,1,0,0,0,4.0,False,0,1,1
399,0,44.0,21.0,1,0,0,0,2.0,False,1,1,1
402,1,45.5,8.9,1,0,0,0,3.0,False,0,1,1
403,0,56.6,10.6,1,0,0,0,2.0,False,0,1,1
408,0,62.6,,1,0,0,0,1.0,False,1,1,1
411,0,46.1,10.1,1,0,0,0,2.0,False,0,0,1
412,1,38.2,1.7,1,0,0,0,3.0,False,1,1,1
417,1,33.8,7.7,1,0,1,1,3.0,False,0,1,0
419,2,33.5,5.6,1,0,0,0,4.0,False,0,0,1
421,1,29.9,9.8,1,0,1,0,3.0,False,0,0,1
425,1,35.3,1.9,1,0,0,0,2.0,False,0,1,1
427,0,29.7,6.9,1,0,0,1,1.0,False,0,0,0
429,0,56.9,6.4,1,0,0,0,2.0,False,0,0,1
431,0,60.6,,1,0,1,0,2.0,False,1,1,1
432,0,60.0,23.2,1,1,0,0,2.0,False,0,0,1
437,0,50.6,8.3,1,0,0,1,2.0,False,0,0,1
439,0,46.5,6.9,1,0,1,1,1.0,False,1,1,1
440,0,45.4,12.5,1,0,0,0,2.0,False,0,0,1
444,0,50.4,21.4,1,0,0,0,1.0,False,0,0,1
446,0,45.9,9.6,1,0,0,0,2.0,False,0,0,1
448,2,34.3,3.1,1,0,0,0,4.0,False,1,1,0
450,0,57.4,0.5,1,0,1,1,2.0,False,1,0,1
452,0,28.2,4.6,1,0,0,0,2.0,False,0,0,0
453,2,37.1,10.9,1,0,0,0,4.0,False,0,1,1
454,0,61.9,,1,0,0,0,2.0,False,0,0,1
456,0,60.6,,1,0,0,0,2.0,False,0,1,1
459,0,58.3,,1,0,0,1,1.0,False,0,1,1
462,0,38.8,2.5,1,0,0,0,2.0,False,1,1,1
464,1,41.1,14.7,1,0,0,1,3.0,False,0,1,1
465,2,35.4,5.7,1,1,1,1,4.0,False,0,0,1
471,0,63.8,,1,0,0,0,2.0,False,1,1,1
474,1,34.2,15.8,1,0,0,0,3.0,False,0,1,1
478,0,60.6,4.4,1,0,1,1,2.0,False,1,1,1
482,0,50.7,5.1,1,0,0,0,2.0,False,0,0,1
483,0,58.4,1.3,1,0,0,0,2.0,False,0,0,1
485,2,50.4,11.7,1,1,1,1,4.0,False,1,1,1
487,1,46.0,18.0,1,0,1,0,2.0,False,1,0,0
492,0,42.8,13.9,1,0,1,0,2.0,False,0,0,1
493,0,63.9,,1,0,0,0,2.0,False,0,1,1
495,0,49.6,3.6,1,0,0,0,2.0,False,1,0,1
496,0,63.6,,1,0,1,0,1.0,False,0,0,1
497,0,27.4,5.1,1,0,0,1,2.0,False,1,1,1
502,1,48.0,22.0,1,0,0,0,3.0,False,0,1,1
507,0,59.1,6.0,1,0,0,0,2.0,False,1,1,1
508,0,45.2,11.9,1,0,0,0,2.0,False,1,1,1
510,0,55.2,2.9,1,0,0,0,2.0,False,1,1,1
516,0,54.0,22.9,1,0,0,0,2.0,False,0,1,1
517,1,37.8,15.4,1,1,1,0,3.0,False,1,0,1
529,0,40.9,5.1,1,0,0,0,2.0,False,0,0,1
531,0,55.4,17.0,1,1,1,0,2.0,False,0,0,1
533,0,64.2,,1,0,0,0,2.0,False,0,0,1
534,1,41.4,5.4,1,0,0,0,3.0,False,0,1,1
539,0,26.0,0.4,1,0,0,1,2.0,False,1,0,0
541,0,62.6,,1,0,0,0,2.0,False,0,0,0
551,1,29.0,3.3,1,0,0,0,3.0,False,1,1,0
553,2,40.6,20.3,1,1,0,0,3.0,False,0,0,1
554,0,33.9,5.5,1,1,1,0,1.0,False,1,1,0
556,1,26.9,5.8,1,0,0,1,2.0,False,0,1,1
559,0,65.1,,1,0,0,0,2.0,False,0,1,1
564,0,37.7,7.0,1,0,0,1,2.0,False,0,1,1
566,1,38.8,4.4,1,1,1,0,3.0,False,0,1,1
567,0,59.9,,1,0,0,0,2.0,False,0,0,1
574,1,36.8,8.6,1,0,0,0,2.0,False,1,1,0
575,0,43.0,0.8,1,0,0,1,2.0,False,0,0,1
583,1,30.4,0.4,1,0,0,0,3.0,False,0,1,0
584,0,59.0,,1,0,0,0,2.0,False,0,0,1
587,0,62.9,,1,0,0,0,2.0,False,0,0,1
588,0,36.3,15.9,1,1,0,0,2.0,False,0,1,1
590,0,51.4,10.7,1,0,0,1,2.0,False,0,0,1
598,1,34.6,1.9,1,0,1,0,3.0,False,0,1,1
599,0,32.6,6.0,1,0,0,0,2.0,False,1,1,1
603,0,35.9,0.9,1,0,0,0,2.0,False,1,1,1
605,2,37.8,0.4,1,1,1,0,4.0,False,1,1,1
607,0,54.8,,1,0,0,0,2.0,False,1,1,1
611,1,28.0,0.9,1,1,0,0,3.0,False,1,1,1
614,0,47.5,6.9,1,0,0,0,1.0,False,0,1,1
615,1,50.6,7.2,1,0,0,0,3.0,False,1,1,1
623,0,55.8,,1,0,0,0,2.0,False,0,0,1
625,2,38.2,8.4,1,0,0,0,4.0,True,0,1,0
626,2,38.2,8.4,1,0,0,0,4.0,False,0,1,0
628,0,49.8,8.3,1,0,1,1,1.0,False,0,1,1
629,0,43.2,8.0,1,0,1,0,2.0,False,1,1,1
632,0,27.8,4.6,1,0,0,1,2.0,False,0,1,1
635,1,31.0,4.4,1,0,0,1,3.0,False,1,1,1
638,1,38.8,5.3,1,0,0,1,3.0,False,0,0,0
639,1,46.0,9.1,1,0,0,0,3.0,False,1,1,1
641,0,62.8,,1,0,0,0,2.0,False,0,0,1
643,1,29.9,2.5,1,0,0,0,3.0,False,0,0,1
644,2,32.5,12.4,1,0,0,0,4.0,False,0,0,1
647,0,54.5,,1,0,1,0,1.0,False,0,0,1
650,0,58.0,3.0,1,0,0,0,2.0,False,0,0,1
653,0,61.0,,1,0,1,0,2.0,False,0,0,1
656,0,53.2,5.5,1,0,0,0,1.0,False,0,0,1
657,0,34.1,1.9,1,0,0,0,2.0,False,0,1,1
663,0,52.8,,1,0,1,0,2.0,False,0,0,0
664,1,24.2,1.4,1,1,1,0,3.0,False,1,0,0
666,0,30.3,2.9,1,0,0,0,1.0,False,1,1,0
667,2,36.6,11.2,1,0,0,0,4.0,False,1,1,1
672,0,47.0,8.2,1,0,0,0,2.0,False,1,1,1
673,0,57.0,2.3,1,0,0,1,2.0,False,1,1,1
674,0,28.2,6.1,1,0,0,0,2.0,False,1,1,1
677,0,56.6,0.9,1,1,1,1,1.0,False,1,1,1
678,2,38.2,8.3,1,0,0,0,4.0,False,0,1,1
680,0,43.5,13.9,1,0,1,0,2.0,False,1,1,0
683,2,37.9,16.4,1,1,1,0,4.0,False,1,0,1
685,0,58.6,2.8,1,0,0,1,2.0,False,0,0,1
691,0,32.5,13.9,1,1,0,0,2.0,False,0,0,1
696,0,60.3,28.0,1,1,1,0,2.0,False,1,1,1
698,0,58.5,,1,0,1,0,2.0,False,0,1,1
701,0,61.1,,1,0,0,0,2.0,False,0,0,1
702,1,38.1,0.9,1,0,0,0,2.0,False,0,1,1
705,0,30.2,11.8,1,1,1,0,1.0,False,1,0,1
708,1,39.6,6.2,1,0,0,1,3.0,False,0,1,1
709,0,64.0,,1,0,0,0,2.0,False,0,0,1
710,0,46.6,12.5,1,0,0,1,2.0,False,1,0,0
711,1,30.2,7.7,1,0,0,0,3.0,False,0,0,1
714,0,42.3,2.1,1,0,0,1,2.0,False,0,0,1
720,2,41.5,8.7,1,1,0,1,4.0,False,0,0,1
723,0,35.9,4.5,1,0,0,0,2.0,False,0,1,1
731,2,47.4,15.3,1,1,0,0,4.0,False,1,1,1
732,0,51.1,7.3,1,0,0,0,2.0,False,0,0,1
733,0,61.4,,1,0,0,0,2.0,False,0,1,1
734,0,32.4,2.0,1,0,0,1,2.0,False,0,1,1
735,1,48.9,19.4,1,0,0,1,3.0,False,0,0,1
738,0,45.4,2.9,1,0,0,0,2.0,False,0,0,1
742,1,38.5,2.9,1,0,0,0,3.0,False,0,1,1
743,1,49.8,1.9,1,0,1,1,3.0,False,1,1,1
744,1,49.8,1.9,1,0,1,1,3.0,True,1,1,1
750,0,56.7,,1,0,1,0,2.0,False,0,0,1
753,0,65.1,,1,0,0,1,2.0,False,0,0,1
758,0,62.2,2.4,1,0,1,1,2.0,False,1,1,1
760,0,55.9,,1,0,0,0,2.0,False,0,1,1
762,0,61.0,2.3,1,0,0,1,1.0,False,0,0,0
763,0,61.0,2.3,1,0,0,1,1.0,True,0,0,0
764,2,34.9,1.4,1,0,0,1,4.0,False,0,1,1
766,0,46.1,18.1,1,0,0,0,1.0,False,0,0,0
772,0,62.5,,1,0,0,0,2.0,False,0,0,0
773,1,37.7,7.0,1,0,0,0,3.0,False,0,1,1
781,0,40.4,3.8,1,0,0,0,2.0,False,1,1,1
784,0,30.7,7.0,1,0,0,1,2.0,False,0,0,0
785,1,37.3,7.5,1,0,0,0,3.0,False,0,0,1
786,0,49.9,9.6,1,0,0,1,2.0,False,1,1,1
788,0,49.4,5.0,1,0,0,0,1.0,False,1,1,1
789,0,60.6,,1,0,0,0,2.0,False,1,0,1
790,0,30.5,10.6,1,1,0,0,1.0,False,0,0,1
791,0,55.0,0.6,1,0,0,0,2.0,False,0,0,1
800,0,29.4,5.7,1,0,0,1,2.0,False,0,1,1
810,0,32.9,0.4,1,0,1,1,2.0,False,0,1,1
814,2,45.4,8.9,1,0,0,0,4.0,False,1,1,1
817,0,45.5,2.8,1,0,0,1,2.0,False,0,0,1
818,1,47.9,20.7,1,0,1,0,3.0,False,0,0,1
819,0,55.6,,1,0,0,0,2.0,False,0,0,1
826,1,62.4,,1,0,0,0,3.0,False,0,0,1
827,0,50.5,14.2,1,0,0,0,2.0,False,0,0,1
828,0,51.5,3.0,1,0,0,0,2.0,False,0,0,1
830,0,34.6,14.5,1,0,0,0,1.0,False,1,0,1
831,1,46.8,0.7,1,0,0,0,3.0,False,1,1,1
833,1,43.4,3.8,1,0,1,0,3.0,False,0,0,1
837,0,60.4,,1,0,1,0,1.0,False,0,0,1
838,1,55.4,22.0,1,0,1,0,3.0,False,0,0,1
840,0,52.5,12.3,1,0,0,0,2.0,False,0,1,1
841,0,61.1,,1,0,1,0,2.0,False,0,0,1
847,1,44.8,12.8,1,1,1,0,3.0,False,1,1,1
848,0,56.5,,1,0,0,0,1.0,False,0,0,0
849,0,51.9,2.8,1,1,1,0,2.0,True,0,1,1
850,0,51.9,2.8,1,1,1,0,2.0,False,0,1,1
853,0,57.5,,1,0,0,0,2.0,False,0,0,0
855,0,27.8,6.9,1,0,0,0,1.0,False,0,0,0
858,0,41.6,6.5,1,0,1,0,2.0,False,1,1,1
859,0,35.4,11.8,1,0,1,0,1.0,False,0,0,0
861,0,51.5,2.5,1,0,0,0,2.0,False,0,1,1
862,0,51.2,,1,0,0,0,2.0,False,1,0,1
863,1,37.3,3.1,1,0,0,0,3.0,False,1,1,1
866,1,35.0,6.2,1,0,1,0,3.0,False,1,1,1
869,0,27.2,1.9,1,0,0,0,1.0,False,1,1,0
870,2,29.8,0.3,1,0,0,0,4.0,False,0,0,1
871,1,29.1,6.5,1,0,0,0,3.0,False,0,0,1
873,1,34.1,4.0,1,0,0,0,3.0,False,0,0,1
874,0,62.3,,1,0,0,0,2.0,False,0,0,1
882,0,50.6,18.6,1,0,0,0,2.0,False,0,0,1
887,0,31.4,5.4,1,0,0,0,1.0,False,0,0,0
889,1,39.8,12.6,1,0,0,0,3.0,False,0,1,1
892,0,38.7,15.8,1,0,0,0,1.0,False,1,1,1
898,1,42.7,1.9,1,0,0,0,3.0,False,0,0,1
899,2,60.5,,1,0,0,0,4.0,False,0,0,1
900,1,32.6,0.5,1,0,0,1,3.0,False,0,1,1
902,0,46.3,0.7,1,0,0,0,2.0,False,1,0,1
904,0,48.7,10.4,1,0,0,0,2.0,False,0,0,1
911,3,41.6,1.6,1,0,0,0,5.0,False,1,1,1
915,0,31.4,2.9,1,1,1,0,2.0,False,0,0,0
916,0,54.7,18.1,1,0,0,0,2.0,False,1,1,0
922,0,50.6,20.6,1,0,0,0,2.0,False,1,0,1
925,0,60.5,1.6,1,0,0,1,2.0,False,0,0,1
930,1,30.2,2.1,1,0,0,0,3.0,False,0,0,1
933,1,30.2,2.1,1,0,0,0,3.0,True,0,0,1
937,0,59.9,,1,0,0,0,1.0,False,0,0,1
943,0,55.0,10.9,1,1,1,0,2.0,False,0,0,1
949,0,51.8,6.8,1,0,0,0,1.0,False,0,0,1
950,1,46.9,1.0,1,0,0,0,3.0,False,1,0,1
953,1,26.2,3.7,1,0,0,0,3.0,False,1,0,1
957,0,36.5,14.3,1,1,1,0,2.0,False,0,0,1
958,0,58.7,7.5,1,0,0,0,2.0,False,0,0,1
959,0,57.9,,1,0,1,0,2.0,False,0,0,1
960,1,31.5,2.0,1,0,0,0,3.0,False,0,1,0
963,0,32.6,6.8,1,0,1,1,2.0,False,0,0,1
971,1,43.2,5.1,1,0,0,0,3.0,False,0,0,1
972,1,41.4,7.8,1,0,0,0,3.0,False,0,0,1
973,4,38.8,1.1,1,0,0,0,6.0,False,1,1,1
974,0,57.4,,1,0,0,0,2.0,False,0,0,1
976,0,49.7,27.7,1,0,1,0,2.0,False,0,0,1
979,0,52.8,13.3,1,0,0,1,2.0,False,0,0,0
984,0,60.9,,1,0,0,0,1.0,False,0,0,1
985,0,62.8,,1,0,0,0,2.0,False,1,0,1
986,1,25.5,4.6,1,0,0,0,3.0,False,0,1,0
989,0,57.2,4.3,1,0,0,0,2.0,False,0,0,1
995,1,32.5,1.2,1,0,0,0,2.0,False,1,1,1
996,0,49.8,1.6,1,0,0,0,2.0,False,1,0,1
997,0,27.1,0.3,1,1,1,0,2.0,False,1,1,1
998,2,34.0,13.4,1,0,1,1,4.0,False,0,0,1
1000,0,26.8,4.6,1,0,0,0,2.0,False,1,0,0
1003,0,59.1,,1,0,0,0,2.0,False,0,0,1
1004,0,58.3,,1,0,1,0,2.0,False,0,1,1
1008,0,52.9,6.7,1,0,1,0,2.0,False,0,0,1
1010,1,46.3,4.2,1,0,0,0,3.0,False,1,1,1
1011,0,30.2,6.6,1,0,0,0,2.0,False,0,1,1
1012,3,41.1,0.3,1,0,0,0,5.0,False,0,1,1
1013,0,60.0,,1,0,0,1,1.0,True,0,1,1
1015,0,32.1,8.9,1,0,0,0,2.0,False,1,0,1
1019,0,34.4,14.6,1,0,0,1,2.0,False,0,0,1
1022,1,36.2,3.8,1,0,0,0,3.0,False,1,1,1
1025,1,37.8,1.8,1,1,0,0,3.0,False,1,0,1
1035,0,51.4,10.0,1,0,0,0,1.0,False,1,0,1
1039,1,36.2,0.7,1,0,0,0,3.0,False,1,1,1
1040,1,50.7,5.8,1,0,1,1,2.0,False,0,0,1
1043,1,41.6,9.0,1,1,0,0,3.0,False,0,1,1
1048,2,36.9,14.3,1,0,0,1,4.0,False,0,0,1
1050,0,46.7,8.2,1,0,1,0,2.0,False,0,1,1
1051,1,48.6,1.1,1,0,0,0,3.0,False,0,1,1
1056,1,46.5,3.8,1,0,0,1,3.0,False,0,1,1
1058,0,57.1,,1,0,0,0,1.0,False,0,0,1
1059,1,28.5,7.6,1,0,0,1,3.0,False,0,0,1
1067,0,46.5,2.2,1,0,0,0,2.0,False,0,0,0
1071,0,39.8,4.2,1,0,0,0,2.0,False,0,0,1
1076,2,41.1,18.9,1,0,0,0,4.0,False,0,1,1
1079,0,33.8,0.5,1,0,0,0,2.0,False,0,0,1
1084,0,33.8,0.5,1,0,0,0,2.0,True,0,0,1
1085,1,31.4,4.6,1,0,1,1,3.0,False,0,1,1
1090,0,47.6,12.8,1,0,0,0,2.0,False,0,0,1
1091,0,36.0,5.2,1,0,0,0,2.0,False,0,0,1
1092,0,55.8,,1,0,0,1,2.0,False,0,0,1
1097,1,27.9,0.8,1,0,0,0,3.0,False,0,0,1
1100,1,32.8,5.8,1,0,0,0,3.0,False,0,0,1
1101,1,50.0,1.2,1,0,1,1,2.0,False,0,1,1
1111,2,37.1,7.0,1,0,0,0,4.0,False,1,0,1
1112,2,35.9,0.6,1,0,1,0,4.0,False,1,1,0
1116,0,46.4,3.8,1,0,0,0,2.0,False,0,1,1
1120,0,57.4,,1,0,0,0,2.0,False,0,0,1
1124,0,28.3,3.2,1,0,0,0,2.0,False,1,1,1
1125,1,59.1,,1,0,1,0,3.0,False,0,1,0
1127,0,35.5,4.3,1,0,1,0,2.0,False,0,0,1
1129,0,60.9,,1,0,0,0,2.0,False,0,0,1
1136,0,34.2,1.2,1,0,0,0,2.0,False,0,1,1
1141,0,25.0,5.8,1,0,0,0,1.0,False,0,0,1
1143,0,48.6,11.5,1,0,0,0,2.0,True,0,1,1
1144,1,32.1,3.3,1,0,0,0,3.0,False,0,0,0
1147,0,55.6,,1,0,0,0,2.0,False,1,0,1
1148,1,30.6,11.5,1,0,0,0,3.0,False,1,1,1
1151,0,38.1,1.7,1,0,0,0,2.0,False,0,0,1
1152,0,55.1,2.9,1,0,0,0,1.0,False,1,0,1
1153,0,27.3,4.4,1,0,0,0,1.0,False,1,1,1
1156,0,62.4,,1,0,1,0,2.0,False,1,0,1
1157,0,27.5,3.9,1,0,0,1,2.0,False,1,0,1
1160,1,32.1,4.8,1,0,0,1,2.0,False,0,1,0
1161,0,40.9,22.4,1,1,1,0,2.0,False,1,1,1
1163,0,35.1,11.8,1,0,0,0,1.0,False,1,0,1
1165,0,40.4,13.5,1,0,0,1,2.0,False,0,0,1
1169,0,55.2,,1,0,1,0,2.0,False,0,0,1
1172,0,53.3,3.3,1,1,0,0,2.0,False,0,0,1
1173,0,52.6,4.2,1,1,1,0,2.0,False,0,0,1
1178,0,60.8,,1,0,1,0,1.0,False,0,0,1
1181,0,48.9,7.0,1,0,0,0,1.0,False,0,0,0
1183,1,49.6,15.3,1,1,1,1,2.0,False,0,0,1
1184,1,26.4,0.3,1,0,0,0,3.0,False,1,1,1
1185,0,53.9,3.1,1,0,0,0,2.0,False,1,0,1
1187,0,27.6,4.2,1,0,0,1,2.0,False,0,0,1
1189,0,60.0,,1,0,0,0,1.0,False,0,0,1
1190,2,36.4,2.1,1,0,0,0,4.0,False,1,1,0
